year,business_type,business_name,address,has_tobacco_license,has_liquor_license,crime_type,#crimes,#arrests,#OnPremises
2004,a,1 EAST CORPORATION,1 E 14TH PL,0,0,ROBBERY,1,0,0
2007,a,"GALE UNLIMITED, INC.",1 E 14TH PL,0,0,THEFT,1,1,0
2002,a,"JDNK, INC.",1 E 14TH PL 1 #,0,0,THEFT,1,0,0
2002,a,"JDNK, INC.",1 E 14TH PL 1 #,0,0,THEFT,1,0,0
2007,c,MCCORMICK & SCHMICK RESTAURANT CORP.,1 E WACKER DR,1,0,BATTERY,1,1,0
2007,c,MCCORMICK & SCHMICK RESTAURANT CORP.,1 E WACKER DR,1,0,CRIMINAL TRESPASS,1,1,0
2007,c,MCCORMICK & SCHMICK RESTAURANT CORP.,1 E WACKER DR,1,0,THEFT,3,2,0
2004,c,N J CORPORATION,1 N DEARBORN ST,1,0,ASSAULT,2,2,0
2004,c,N J CORPORATION,1 N DEARBORN ST,1,0,BATTERY,1,1,0
2004,c,N J CORPORATION,1 N DEARBORN ST,1,0,THEFT,2,1,0
2005,c,N J CORPORATION,1 N DEARBORN ST,1,0,DECEPTIVE PRACTICE,1,0,0
2003,c,N J CORPORATION,1 N DEARBORN ST,1,0,THEFT,2,0,0
2006,c,SAGAR & NEEL CORPORATION,1 N DEARBORN ST  LOBBY,1,0,BATTERY,1,1,0
2005,c,Z S CHICAGO INC.,1 N DEARBORN ST 1,1,0,DECEPTIVE PRACTICE,1,0,0
2006,c,Z S CHICAGO INC.,1 N DEARBORN ST 1,1,0,BATTERY,1,1,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,BATTERY,1,0,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,NARCOTICS,2,2,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,ASSAULT,1,0,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,ROBBERY,1,0,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,PUBLIC PEACE VIOLATION,2,0,0
2010,c,"THE MOBILE PLACE, INC",1 N DEARBORN ST 1ST,1,0,THEFT,4,0,0
2015,c,AK MERCHANT CORP,1 N FRANKLIN ST,1,0,ASSAULT,3,0,0
2015,c,AK MERCHANT CORP,1 N FRANKLIN ST,1,0,BATTERY,1,0,0
2015,c,AK MERCHANT CORP,1 N FRANKLIN ST,1,0,THEFT,4,0,0
2015,c,AK MERCHANT CORP,1 N FRANKLIN ST,1,0,DECEPTIVE PRACTICE,1,0,0
2005,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,DECEPTIVE PRACTICE,1,0,0
2005,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,THEFT,1,0,0
2012,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,ASSAULT,1,0,0
2012,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,BATTERY,1,0,0
2012,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,PUBLIC PEACE VIOLATION,1,1,0
2012,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,THEFT,1,0,0
2004,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,ASSAULT,1,1,0
2004,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,BATTERY,1,1,0
2010,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,ROBBERY,1,0,0
2010,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,THEFT,3,0,0
2007,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,DECEPTIVE PRACTICE,2,0,0
2007,c,JAY'S LOBBY SHOP INC.,1 N FRANKLIN ST,1,0,THEFT,3,0,0
2004,c,VIJAY H & SHAKU V PATEL,1 N FRANKLIN ST 1ST,1,0,ASSAULT,1,1,0
2004,c,VIJAY H & SHAKU V PATEL,1 N FRANKLIN ST 1ST,1,0,BATTERY,1,1,0
2003,c,VIJAY H & SHAKU V PATEL,1 N FRANKLIN ST 1ST,1,0,THEFT,2,0,0
2017,c,SP&AN INC.,1 N FRANKLIN ST 1ST 150,1,0,DECEPTIVE PRACTICE,2,0,0
2017,c,SP&AN INC.,1 N FRANKLIN ST 1ST 150,1,0,THEFT,2,0,0
2017,c,SP&AN INC.,1 N FRANKLIN ST 1ST 150,1,0,ASSAULT,2,1,0
2006,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,BATTERY,1,1,0
2005,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,DECEPTIVE PRACTICE,1,0,0
2003,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,THEFT,1,0,0
2002,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,OTHER OFFENSE,1,0,0
2002,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,PUBLIC PEACE VIOLATION,1,0,0
2002,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,THEFT,7,1,0
2002,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,CRIMINAL DAMAGE,1,0,0
2004,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,ASSAULT,2,2,0
2004,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,BATTERY,1,1,0
2004,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,THEFT,2,1,0
2007,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,DECEPTIVE PRACTICE,2,1,0
2007,c,GIRDHAR CORPORATION,1 N LA SALLE ST,1,0,THEFT,5,2,0
2007,c,SAGAR & NEEL CORPORATION,1 N LA SALLE ST  LOBBY,1,0,DECEPTIVE PRACTICE,2,1,0
2007,c,SAGAR & NEEL CORPORATION,1 N LA SALLE ST  LOBBY,1,0,THEFT,5,2,0
2014,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,DECEPTIVE PRACTICE,2,0,0
2014,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,OTHER OFFENSE,1,0,0
2014,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,THEFT,1,0,0
2010,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,ASSAULT,1,0,0
2010,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,ROBBERY,1,0,0
2010,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,PUBLIC PEACE VIOLATION,2,0,0
2010,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,THEFT,4,0,0
2010,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,NARCOTICS,2,2,0
2012,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,ASSAULT,1,0,0
2012,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,BATTERY,3,1,0
2012,c,DEEPA MANAGEMENT ONE CORPORATION,1 N LA SALLE ST 1ST,1,0,THEFT,3,0,0
2016,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,CRIMINAL DAMAGE,2,0,0
2016,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,ASSAULT,1,0,0
2016,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,BATTERY,3,1,0
2016,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,THEFT,2,1,0
2016,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,ROBBERY,2,0,0
2014,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,DECEPTIVE PRACTICE,2,0,0
2014,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,OTHER OFFENSE,1,0,0
2014,c,HASS ENTERPRISE INC.,1 N LA SALLE ST 1ST 110,1,0,THEFT,1,0,0
