business_name,address,inspection_date,years_alive,latitude,longitude
GOODWIN'S RESTAURANT,1 N FRANKLIN ST ,11/17/2014,3,41.881967467024346,-87.6351654428475
GATEWAY NEWSTANDS,1 N FRANKLIN ST ,10/03/2014,0,41.881967467024346,-87.6351654428475
ALONTI CAFE,1 N FRANKLIN ST ,01/03/2013,1,41.881967467024346,-87.6351654428475
JAY LOBBY SHOP,1 N FRANKLIN ST ,04/26/2012,1,41.881967467024346,-87.6351654428475
THE LOBBY SHOP,1 N LA SALLE ST ,11/05/2012,0,41.88199007378304,-87.63221287591374
SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,10/04/2011,2,41.881436906939314,-87.66592135954576
"SODEXHO AMERICA, LLC",1 N STATE ST FL ,01/31/2012,1,41.88211763349539,-87.62767361218859
MUNCHIES,1 N WACKER DR ,08/14/2014,1,41.881951876486006,-87.63662034940235
LA QUINTA INN & SUITES,1 S FRANKLIN ST ,08/29/2016,1,41.881902750505866,-87.6351640597954
MID-CITY CARDS & GIFTS,1 S WACKER DR ,08/08/2013,3,41.88188622746245,-87.63661833048016
TASTE AMERICA CATERING,1 S WACKER DR ,06/28/2010,3,41.88188622746245,-87.63661833048016
Renaissance Cafe,1 W WACKER DR ,09/28/2015,0,41.88670422864661,-87.62805355978018
HOTEL BURNHAM / ATWOOD CAFE,1 W WASHINGTON ST ,07/07/2016,0,41.883108627266935,-87.62794877080375
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,08/18/2011,0,41.883108627266935,-87.62794877080375
HOTEL BURNHAM/ATWOOD CAFE,1 W WASHINGTON ST ,11/29/2010,1,41.883108627266935,-87.62794877080375
"GODIVA CHOCOLATIER, INC",10 S LA SALLE ST ,10/03/2014,1,41.88167475683708,-87.63250418895821
CARIBOU COFFEE CO.INC.,10 S LA SALLE ST ,10/03/2014,0,41.88167475683708,-87.63250418895821
RIVERSIDE LOBBY SHOP,10 S RIVERSIDE PLZ ,01/23/2014,1,41.88166428938293,-87.63888744408949
CROWNE PLAZA CHICAGO - THE SILVERSMITH HOTEL,10-16 S WABASH AVE ,08/18/2010,1,41.88181876616734,-87.62635317290135
ARAMARK CORPORATION,100 N RIVERSIDE PLZ ,11/09/2015,0,41.88326585294293,-87.63876082126886
ARAMARK CORPORATION,100 N RIVERSIDE PLZ ,11/04/2014,1,41.88326585294293,-87.63876082126886
Eurest Dining Services @ Boeing,100 N RIVERSIDE PLZ ,01/04/2013,0,41.88326585294293,-87.63876082126886
ARAMARK,100 N RIVERSIDE PLZ ,01/04/2013,0,41.88326585294293,-87.63876082126886
"CEREALITY OPERATORS, INC.",100 S WACKER DR ,07/19/2013,2,41.880557025143204,-87.63713177610846
URBAN KITCHEN,100 S WACKER DR ,04/26/2012,1,41.880557025143204,-87.63713177610846
TOKYO LUNCH BOXES & CATERING,100 W RANDOLPH ST ,01/06/2017,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,10/04/2016,0,41.88458626715457,-87.63101044588598
SUBWAY,100 W RANDOLPH ST ,04/23/2015,1,41.88458626715457,-87.63101044588598
"DIZA HOSPITALITY GROUP, LLC ATRIUM TACO",100 W RANDOLPH ST ,04/08/2015,0,41.88458626715457,-87.63101044588598
SUBWAY,100 W RANDOLPH ST ,03/06/2015,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,07/23/2014,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,07/21/2014,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,11/14/2014,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,08/14/2014,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,08/14/2014,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,06/06/2014,0,41.88458626715457,-87.63101044588598
A & B CONVENIENCE,100 W RANDOLPH ST ,07/02/2014,0,41.88458626715457,-87.63101044588598
SWEET FACTORY,100 W RANDOLPH ST ,09/30/2013,0,41.88458626715457,-87.63101044588598
BONJOUR CAFE,100 W RANDOLPH ST ,12/24/2013,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,10/08/2013,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,10/03/2013,0,41.88458626715457,-87.63101044588598
STEAK EXPRESS & FRIES,100 W RANDOLPH ST ,06/14/2012,0,41.88458626715457,-87.63101044588598
THE GREAT STATE FARE,100 W RANDOLPH ST ,02/07/2012,0,41.88458626715457,-87.63101044588598
SWEET FACTORY,100 W RANDOLPH ST ,10/03/2011,0,41.88458626715457,-87.63101044588598
GENERAL NUTRITION CENTER,100 W RANDOLPH ST ,12/21/2010,0,41.88458626715457,-87.63101044588598
DAIRY QUEEN ORANGE JULIUS,100 W RANDOLPH ST ,03/18/2010,0,41.88458626715457,-87.63101044588598
FLAT TOP GRILL,1000 W WASHINGTON BLVD ,06/29/2015,1,41.88317183484875,-87.65213310038212
CHI-TOWN,1000 W WASHINGTON BLVD ,09/24/2014,1,41.88317183484875,-87.65213310038212
CALPHALON CULINARY CENTER,1000 W WASHINGTON BLVD ,01/10/2014,0,41.88317183484875,-87.65213310038212
FLAT TOP GRILL,1000 W WASHINGTON BLVD ,09/20/2011,2,41.88317183484875,-87.65213310038212
PAZZO'S CUCINA ITALIANA,101 N WACKER DR ,02/20/2015,2,41.88323434776848,-87.6366490618587
MID-CITY CARDS & GIFTS,101 N WACKER DR ,10/16/2012,3,41.88323434776848,-87.6366490618587
EMILS,101 N WACKER DR ,10/16/2012,0,41.88323434776848,-87.6366490618587
Le Peep Restaurant,1010 W WASHINGTON BLVD ,09/25/2012,0,41.88316347581792,-87.6525689466173
Le Peep Restaurant,1010 W WASHINGTON BLVD ,08/20/2010,2,41.88316347581792,-87.6525689466173
VERA,1023 W LAKE ST ,10/28/2016,1,41.88545575025288,-87.65315630579407
RUSHMORE,1023 W LAKE ST ,10/28/2013,1,41.88545575025288,-87.65315630579407
OLD FIFTH,1027 W MADISON ST ,08/14/2014,2,41.88157109403527,-87.65313284498924
FLIRTY CUPCAKES,1030 W TAYLOR ST ,06/06/2017,0,41.86959706650426,-87.65234901750141
FLIRTY CUPCAKES,1030 W TAYLOR ST ,01/15/2016,1,41.86959706650426,-87.65234901750141
BABA PITA,1032 W LAKE ST ,07/06/2015,1,41.88567203095461,-87.6533667906348
BABA PITA,1032 W LAKE ST ,08/06/2014,1,41.88567203095461,-87.6533667906348
"VENUE ONE, LLC",1034 W RANDOLPH ST ,09/17/2013,4,41.88441253263354,-87.65341892569424
REAL COMFORT AMERICAN KITCHEN,1045 W MADISON ST ,08/21/2014,2,41.88157126308661,-87.65380789789538
The Westminster Hot Dog,1045 W MADISON ST ,09/19/2013,0,41.88157126308661,-87.65380789789538
Jerry's Sandwiches,1045 W MADISON ST ,03/20/2012,0,41.88157126308661,-87.65380789789538
JAFFA BAKERY,105 W MADISON ST ,07/23/2013,0,41.881866029037454,-87.63106646768067
BANH MI EXPRESS SANDWISH,105 W MADISON ST ,08/21/2013,0,41.881866029037454,-87.63106646768067
JAFFA BAKERY,105 W MADISON ST ,09/19/2013,0,41.881866029037454,-87.63106646768067
JAFFA BAKERY,105 W MADISON ST ,04/10/2012,0,41.881866029037454,-87.63106646768067
Roma Pizza&Pasta,105 W MADISON ST ,06/07/2011,0,41.881866029037454,-87.63106646768067
CARMICHAEL'S CHICAGO STEAK HSE,1052 W MONROE ST ,10/23/2013,2,41.880486262799224,-87.65407835993324
CHE CAFE,1058 W TAYLOR ST ,01/19/2012,0,41.86958245951936,-87.65334188884053
TAYLOR FOOD MART,1059 W TAYLOR ST ,09/29/2016,1,41.86936297120396,-87.65333595857271
BLUE PLATE CATERING LTD.,1061 W VAN BUREN ST ,09/30/2015,1,41.87645614541188,-87.65429579519606
TATSU,1062 W TAYLOR ST ,02/13/2015,2,41.86957965012496,-87.65350905579126
TATSU,1062 W TAYLOR ST ,03/03/2011,4,41.86957965012496,-87.65350905579126
PARLOR PIZZA BAR,108 N GREEN ST ,06/18/2014,3,41.88343796472903,-87.64872377995451
LATINICITY,108 N STATE ST ,02/27/2017,0,41.88342263701489,-87.62802165207536
