Address,Classifier,Prediction,Probability
001XX N MICHIGAN AVE,DecisionTree,THEFT,1.0
001XX N MICHIGAN AVE,LogisticRegression,THEFT,0.5527304934696337
001XX N MICHIGAN AVE,RandomForest,THEFT,0.8076312252336352
001XX N STATE ST,DecisionTree,THEFT,1.0
001XX N STATE ST,LogisticRegression,THEFT,0.5530219717019088
001XX N STATE ST,RandomForest,THEFT,0.8707432702351298
001XX W JACKSON BLVD,DecisionTree,THEFT,1.0
001XX W JACKSON BLVD,LogisticRegression,THEFT,0.5522640410426577
001XX W JACKSON BLVD,RandomForest,THEFT,0.8505732281283217
001XX W Jackson Blvd,DecisionTree,DECEPTIVE PRACTICE,1.0
001XX W Jackson Blvd,LogisticRegression,THEFT,0.5203388552627228
001XX W Jackson Blvd,RandomForest,OTHER OFFENSE,0.3859579595797491
001XX W MADISON ST,DecisionTree,THEFT,1.0
001XX W MADISON ST,LogisticRegression,THEFT,0.5480394606001318
001XX W MADISON ST,RandomForest,THEFT,0.8134170787464312
001XX W VAN BUREN ST,DecisionTree,THEFT,1.0
001XX W VAN BUREN ST,LogisticRegression,THEFT,0.5493368725974611
001XX W VAN BUREN ST,RandomForest,THEFT,0.7470340123594833
002XX N CLARK ST,DecisionTree,THEFT,1.0
002XX N CLARK ST,LogisticRegression,THEFT,0.5529090600902884
002XX N CLARK ST,RandomForest,THEFT,0.7574877190305326
002XX N LOWER MICHIGAN AVE,DecisionTree,THEFT,0.6546762589928058
002XX N LOWER MICHIGAN AVE,LogisticRegression,THEFT,0.5448913586196674
002XX N LOWER MICHIGAN AVE,RandomForest,THEFT,0.8133858609953475
002XX N MICHIGAN AVE,DecisionTree,THEFT,1.0
002XX N MICHIGAN AVE,LogisticRegression,THEFT,0.5524223112924002
002XX N MICHIGAN AVE,RandomForest,THEFT,0.8116043448008117
003XX N LA SALLE ST,DecisionTree,THEFT,1.0
003XX N LA SALLE ST,LogisticRegression,THEFT,0.5279771612552033
003XX N LA SALLE ST,RandomForest,THEFT,0.7576363218700897
