Census Block,Month,Avg. Temperature,Type of Robbery,Probability
8391001068,9,67,AGGRAVATED,0
8391001068,9,67,ARMED,0.028571429
8391001068,9,67,ATTEMPT,0.971428571
8391001068,9,67,STRONGARM - NO WEAPON,0
8391001068,9,67,VEHICULAR HIJACKING,0
8391001107,9,67,AGGRAVATED,0
8391001107,9,67,ARMED,0.028571429
8391001107,9,67,ATTEMPT,0.971428571
8391001107,9,67,STRONGARM - NO WEAPON,0
8391001107,9,67,VEHICULAR HIJACKING,0
3201002030,9,67,AGGRAVATED,0
3201002030,9,67,ARMED,0.028571429
3201002030,9,67,ATTEMPT,0.971428571
3201002030,9,67,STRONGARM - NO WEAPON,0
3201002030,9,67,VEHICULAR HIJACKING,0
8391001023,9,67,AGGRAVATED,0
8391001023,9,67,ARMED,0.028571429
8391001023,9,67,ATTEMPT,0.971428571
8391001023,9,67,STRONGARM - NO WEAPON,0
8391001023,9,67,VEHICULAR HIJACKING,0
8391002008,9,67,AGGRAVATED,0
8391002008,9,67,ARMED,0.028571429
8391002008,9,67,ATTEMPT,0.971428571
8391002008,9,67,STRONGARM - NO WEAPON,0
8391002008,9,67,VEHICULAR HIJACKING,0
8391002000,9,67,AGGRAVATED,0
8391002000,9,67,ARMED,0.028571429
8391002000,9,67,ATTEMPT,0.971428571
8391002000,9,67,STRONGARM - NO WEAPON,0
8391002000,9,67,VEHICULAR HIJACKING,0
2801001025,9,67,AGGRAVATED,0
2801001025,9,67,ARMED,0.028571429
2801001025,9,67,ATTEMPT,0.971428571
2801001025,9,67,STRONGARM - NO WEAPON,0
2801001025,9,67,VEHICULAR HIJACKING,0
3301001001,9,67,AGGRAVATED,0
3301001001,9,67,ARMED,0.028571429
3301001001,9,67,ATTEMPT,0.971428571
3301001001,9,67,STRONGARM - NO WEAPON,0
3301001001,9,67,VEHICULAR HIJACKING,0
3201001008,9,67,AGGRAVATED,0
3201001008,9,67,ARMED,0.028571429
3201001008,9,67,ATTEMPT,0.971428571
3201001008,9,67,STRONGARM - NO WEAPON,0
3201001008,9,67,VEHICULAR HIJACKING,0
3204001036,9,67,AGGRAVATED,0
3204001036,9,67,ARMED,0.028571429
3204001036,9,67,ATTEMPT,0.971428571
3204001036,9,67,STRONGARM - NO WEAPON,0
3204001036,9,67,VEHICULAR HIJACKING,0
8391001064,9,67,AGGRAVATED,0
8391001064,9,67,ARMED,0.028571429
8391001064,9,67,ATTEMPT,0.971428571
8391001064,9,67,STRONGARM - NO WEAPON,0
8391001064,9,67,VEHICULAR HIJACKING,0
8391001049,9,67,AGGRAVATED,0
8391001049,9,67,ARMED,0.028571429
8391001049,9,67,ATTEMPT,0.971428571
8391001049,9,67,STRONGARM - NO WEAPON,0
8391001049,9,67,VEHICULAR HIJACKING,0
3206002005,9,67,AGGRAVATED,0
3206002005,9,67,ARMED,0.028571429
3206002005,9,67,ATTEMPT,0.971428571
3206002005,9,67,STRONGARM - NO WEAPON,0
3206002005,9,67,VEHICULAR HIJACKING,0
3201001017,9,67,AGGRAVATED,0
3201001017,9,67,ARMED,0.028571429
3201001017,9,67,ATTEMPT,0.971428571
3201001017,9,67,STRONGARM - NO WEAPON,0
3201001017,9,67,VEHICULAR HIJACKING,0
8391001034,9,67,AGGRAVATED,0
8391001034,9,67,ARMED,0.028571429
8391001034,9,67,ATTEMPT,0.971428571
8391001034,9,67,STRONGARM - NO WEAPON,0
8391001034,9,67,VEHICULAR HIJACKING,0
3301001000,9,67,AGGRAVATED,0
3301001000,9,67,ARMED,0.028571429
3301001000,9,67,ATTEMPT,0.971428571
3301001000,9,67,STRONGARM - NO WEAPON,0
3301001000,9,67,VEHICULAR HIJACKING,0
3301003009,9,67,AGGRAVATED,0
3301003009,9,67,ARMED,0.028571429
3301003009,9,67,ATTEMPT,0.971428571
3301003009,9,67,STRONGARM - NO WEAPON,0
3301003009,9,67,VEHICULAR HIJACKING,0
8391001038,9,67,AGGRAVATED,0
8391001038,9,67,ARMED,0.028571429
8391001038,9,67,ATTEMPT,0.971428571
8391001038,9,67,STRONGARM - NO WEAPON,0
8391001038,9,67,VEHICULAR HIJACKING,0
8391001102,9,67,AGGRAVATED,0
8391001102,9,67,ARMED,0.028571429
8391001102,9,67,ATTEMPT,0.971428571
8391001102,9,67,STRONGARM - NO WEAPON,0
8391001102,9,67,VEHICULAR HIJACKING,0
8391001057,9,67,AGGRAVATED,0
8391001057,9,67,ARMED,0.028571429
8391001057,9,67,ATTEMPT,0.971428571
8391001057,9,67,STRONGARM - NO WEAPON,0
8391001057,9,67,VEHICULAR HIJACKING,0
8391001045,9,67,AGGRAVATED,0
8391001045,9,67,ARMED,0.028571429
8391001045,9,67,ATTEMPT,0.971428571
8391001045,9,67,STRONGARM - NO WEAPON,0
8391001045,9,67,VEHICULAR HIJACKING,0
8391001033,9,67,AGGRAVATED,0
8391001033,9,67,ARMED,0.028571429
8391001033,9,67,ATTEMPT,0.971428571
8391001033,9,67,STRONGARM - NO WEAPON,0
8391001033,9,67,VEHICULAR HIJACKING,0
8391001062,9,67,AGGRAVATED,0
8391001062,9,67,ARMED,0.028571429
8391001062,9,67,ATTEMPT,0.971428571
8391001062,9,67,STRONGARM - NO WEAPON,0
8391001062,9,67,VEHICULAR HIJACKING,0
3201001020,9,67,AGGRAVATED,0
3201001020,9,67,ARMED,0.028571429
3201001020,9,67,ATTEMPT,0.971428571
3201001020,9,67,STRONGARM - NO WEAPON,0
3201001020,9,67,VEHICULAR HIJACKING,0
2819001001,9,67,AGGRAVATED,0
2819001001,9,67,ARMED,0.028571429
2819001001,9,67,ATTEMPT,0.971428571
2819001001,9,67,STRONGARM - NO WEAPON,0
2819001001,9,67,VEHICULAR HIJACKING,0
8391002013,9,67,AGGRAVATED,0
8391002013,9,67,ARMED,0.028571429
8391002013,9,67,ATTEMPT,0.971428571
8391002013,9,67,STRONGARM - NO WEAPON,0
8391002013,9,67,VEHICULAR HIJACKING,0
3201002026,9,67,AGGRAVATED,0
3201002026,9,67,ARMED,0.028571429
3201002026,9,67,ATTEMPT,0.971428571
3201002026,9,67,STRONGARM - NO WEAPON,0
3201002026,9,67,VEHICULAR HIJACKING,0
8391001096,9,67,AGGRAVATED,0
